order_id,product_id,category,supplier,customer_location,marketing_channel,order_date,return_status,price,quantity,delivery_time
O10000,P549,Toys,Supplier C,Chennai,TV,2025-06-26,0,1416.16,1,7
O10001,P696,Books,Supplier C,Delhi,Social Media,2025-05-25,0,1176.64,2,2
O10002,P278,Home,Supplier B,Bangalore,TV,2025-06-18,1,619.48,4,1
O10003,P692,Books,Supplier A,Mumbai,Social Media,2025-05-01,1,1232.53,2,2
O10004,P685,Books,Supplier B,Mumbai,Email,2025-04-10,0,1678.76,2,4
O10005,P805,Clothing,Supplier A,Bangalore,Email,2025-04-08,0,251.43,1,8
O10006,P188,Home,Supplier A,Mumbai,Website Banner,2025-05-02,0,1335.53,2,3
O10007,P527,Home,Supplier A,Delhi,Social Media,2025-05-22,0,829.25,1,6
O10008,P972,Home,Supplier B,Delhi,Email,2025-06-13,0,726.81,2,6
O10009,P916,Books,Supplier A,Bangalore,Social Media,2025-04-27,0,906.66,3,9
O10010,P336,Toys,Supplier B,Mumbai,Email,2025-04-10,1,815.64,4,9
O10011,P996,Home,Supplier C,Delhi,TV,2025-05-16,0,1698.03,4,4
O10012,P273,Books,Supplier C,Delhi,Email,2025-05-19,0,694.64,1,9
O10013,P299,Clothing,Supplier A,Hyderabad,Website Banner,2025-06-21,0,1519.68,3,6
O10014,P128,Toys,Supplier B,Hyderabad,TV,2025-04-16,0,369.31,4,2
O10015,P332,Clothing,Supplier C,Delhi,Website Banner,2025-05-12,0,1912.51,1,6
O10016,P227,Toys,Supplier B,Bangalore,TV,2025-05-27,0,1320.17,2,2
O10017,P598,Books,Supplier B,Chennai,Social Media,2025-04-20,0,1472.09,2,8
O10018,P445,Electronics,Supplier A,Chennai,Website Banner,2025-04-14,1,736.47,3,4
O10019,P335,Toys,Supplier C,Delhi,Email,2025-05-31,0,941.77,4,5
O10020,P161,Clothing,Supplier A,Delhi,Social Media,2025-06-17,0,602.8,2,8
O10021,P493,Books,Supplier A,Delhi,Email,2025-05-06,0,1878.56,1,8
O10022,P507,Toys,Supplier C,Bangalore,TV,2025-06-05,0,1078.59,2,6
O10023,P592,Electronics,Supplier C,Hyderabad,TV,2025-04-08,0,1334.81,2,4
O10024,P953,Electronics,Supplier B,Delhi,Email,2025-05-26,0,1521.69,4,1
O10025,P803,Home,Supplier C,Delhi,Email,2025-05-03,0,867.99,4,7
O10026,P895,Home,Supplier B,Mumbai,Social Media,2025-05-03,0,1496.18,1,8
O10027,P166,Clothing,Supplier B,Bangalore,Email,2025-04-03,0,1416.79,3,9
O10028,P182,Toys,Supplier B,Delhi,Website Banner,2025-04-30,0,1470.19,3,2
O10029,P699,Toys,Supplier C,Mumbai,Website Banner,2025-05-12,1,1080.61,2,1
O10030,P753,Home,Supplier A,Chennai,Email,2025-06-15,1,889.29,1,4
O10031,P817,Toys,Supplier B,Delhi,Website Banner,2025-05-19,0,599.75,3,5
O10032,P665,Toys,Supplier A,Delhi,Email,2025-04-14,0,1684.33,3,1
O10033,P516,Electronics,Supplier A,Mumbai,Social Media,2025-06-18,1,1295.03,2,5
O10034,P234,Home,Supplier C,Bangalore,Website Banner,2025-06-07,0,999.83,1,6
